,Date,Total
558,2019-07-13,447426.5400000001
559,2019-07-14,352704.45
560,2019-07-15,650822.9399999997
561,2019-07-16,798066.6400000001
562,2019-07-17,867300.4599999996
563,2019-07-18,809250.3399999997
564,2019-07-19,735285.25
565,2019-07-20,325736.61000000004
566,2019-07-21,845203.2699999998
567,2019-07-22,761201.1499999997
568,2019-07-23,683173.54
569,2019-07-24,830565.7
570,2019-07-25,814223.0399999998
571,2019-07-26,491189.45
572,2019-07-27,451028.13999999996
573,2019-07-28,348238.4300000001
574,2019-07-29,649983.1199999998
575,2019-07-30,653687.45
576,2019-07-31,720627.8799999999
577,2019-08-01,545485.4
578,2019-08-02,355766.94000000006
579,2019-08-03,454513.69
580,2019-08-04,522635.53
581,2019-08-05,903725.5299999997
582,2019-08-06,824343.1899999997
583,2019-08-07,814796.7199999997
584,2019-08-08,772356.2000000001
585,2019-08-09,789403.0499999993
586,2019-08-10,421803.40000000014
587,2019-08-11,453026.1300000001
588,2019-08-12,672862.24
589,2019-08-13,656096.4399999996
590,2019-08-14,246670.15000000005
591,2019-08-15,616732.5599999997
592,2019-08-16,430680.2599999999
593,2019-08-17,434788.24000000005
594,2019-08-18,635676.25
595,2019-08-19,776547.1900000001
596,2019-08-20,590760.19
597,2019-08-21,692993.8300000001
598,2019-08-22,669753.25
599,2019-08-23,457621.89999999997
600,2019-08-24,603014.5499999998
601,2019-08-25,610227.72
602,2019-08-26,682099.3299999998
603,2019-08-27,748477.2299999993
604,2019-08-28,680630.9199999998
605,2019-08-29,622365.99
606,2019-08-30,357572.13999999996
607,2019-08-31,392702.48
608,2019-09-01,428702.4899999999
609,2019-09-02,324863.70999999996
610,2019-09-03,836747.7199999995
611,2019-09-04,739455.9999999999
612,2019-09-05,619107.49
613,2019-09-06,313701.6000000001
614,2019-09-07,302570.85000000003
615,2019-09-08,429008.5600000001
616,2019-09-09,771119.8699999999
617,2019-09-10,735434.3599999998
618,2019-09-11,806005.3599999999
619,2019-09-12,744088.1999999998
620,2019-09-13,437875.0700000002
621,2019-09-14,379350.69
622,2019-09-15,485524.90000000014
623,2019-09-16,727649.8400000001
624,2019-09-17,663224.7600000002
625,2019-09-18,796916.2400000001
626,2019-09-19,676898.1000000002
627,2019-09-20,523500.39
628,2019-09-21,341799.87000000017
629,2019-09-22,654953.0500000002
630,2019-09-23,938695.1399999995
631,2019-09-24,632304.31
632,2019-09-25,594291.1000000002
633,2019-09-26,730550.1600000001
634,2019-09-27,458606.48
635,2019-09-28,330456.95
636,2019-09-29,490887.72000000003
637,2019-09-30,335784.01000000007
638,2019-10-01,933535.8800000001
639,2019-10-02,411808.1700000001
640,2019-10-03,621897.5800000003
641,2019-10-04,305972.05000000005
642,2019-10-05,300702.20000000007
643,2019-10-06,285323.8299999999
644,2019-10-07,220501.11000000002
645,2019-10-08,338355.46
646,2019-10-09,829132.0000000005
647,2019-10-10,915631.5600000008
648,2019-10-11,711972.8000000002
649,2019-10-12,578740.59
650,2019-10-13,645846.2600000002
651,2019-10-14,926305.9400000001
652,2019-10-15,795554.7999999999
653,2019-10-16,769771.2300000003
654,2019-10-17,784341.4899999999
655,2019-10-18,631278.7999999999
656,2019-10-19,634136.2000000001
657,2019-10-20,516258.8399999999
658,2019-10-21,820308.99
659,2019-10-22,800241.18
660,2019-10-23,913098.0999999999
661,2019-10-24,507258.05999999994
662,2019-10-25,297484.33999999997
663,2019-10-26,166455.77
664,2019-10-27,284650.12
665,2019-10-28,350926.04999999993
666,2019-10-29,539424.0299999999
667,2019-10-30,601556.7100000001
668,2019-10-31,435106.64999999997
669,2019-11-01,463085.77
670,2019-11-02,451299.75000000006
671,2019-11-03,674296.33
672,2019-11-04,881608.6000000001
673,2019-11-05,754572.2399999999
674,2019-11-06,742507.34
675,2019-11-07,761732.2300000001
